Trainer,Calib,Train,Valid,Domain,TS Source,TS Oracle,CPCS,TransCal,TS,Cluster NN,Cluster LR
Art,Product_RealWorld,True,False,Art,1.4388896347030586,0.8648245193693725,1.923828125,1.0,1.7795927304291392,1.0,1.0
Art,Product_RealWorld,False,False,Clipart,1.4388896347030586,2.6575034455443047,1.923828125,1.0,1.7795927304291392,1.0,1.0
Art,Product_RealWorld,False,True,Product,1.4388896347030586,1.977675576826354,1.923828125,1.0,1.7795927304291392,1.0,1.0
Art,Product_RealWorld,False,True,RealWorld,1.4388896347030586,1.7284596941917247,1.923828125,1.0,1.7795927304291392,1.0,1.0
Art,Clipart_RealWorld,True,False,Art,1.4388896347030586,0.8648245193693725,2.1196289062499996,1.375902547043025,2.0363750714456335,1.0,1.0
Art,Clipart_RealWorld,False,True,Clipart,1.4388896347030586,2.6575034455443047,2.1196289062499996,1.375902547043025,2.0363750714456335,1.0,1.0
Art,Clipart_RealWorld,False,False,Product,1.4388896347030586,1.977675576826354,2.1196289062499996,1.375902547043025,2.0363750714456335,1.0,1.0
Art,Clipart_RealWorld,False,True,RealWorld,1.4388896347030586,1.7284596941917247,2.1196289062499996,1.375902547043025,2.0363750714456335,1.0,1.0
Art,Clipart_Product,True,False,Art,1.4388896347030586,0.8648245193693725,2.2947265625000006,1.0414422178906846,2.146287848434007,1.0,1.0
Art,Clipart_Product,False,True,Clipart,1.4388896347030586,2.6575034455443047,2.2947265625000006,1.0414422178906846,2.146287848434007,1.0,1.0
Art,Clipart_Product,False,True,Product,1.4388896347030586,1.977675576826354,2.2947265625000006,1.0414422178906846,2.146287848434007,1.0,1.0
Art,Clipart_Product,False,False,RealWorld,1.4388896347030586,1.7284596941917247,2.2947265625000006,1.0414422178906846,2.146287848434007,1.0,1.0
Clipart,Product_RealWorld,False,False,Art,1.80238188525477,3.2254149214947083,2.1692382812500006,1.1153982609184836,2.2198308554884165,1.0,1.0
Clipart,Product_RealWorld,True,False,Clipart,1.80238188525477,0.7214339893114068,2.1692382812500006,1.1153982609184836,2.2198308554884165,1.0,1.0
Clipart,Product_RealWorld,False,True,Product,1.80238188525477,2.4253873773972807,2.1692382812500006,1.1153982609184836,2.2198308554884165,1.0,1.0
Clipart,Product_RealWorld,False,True,RealWorld,1.80238188525477,2.4446401397658075,2.1692382812500006,1.1153982609184836,2.2198308554884165,1.0,1.0
Clipart,Art_RealWorld,False,True,Art,1.80238188525477,3.2254149214947083,2.22587890625,1.1621713691276845,2.3281715555620344,1.0,1.0
Clipart,Art_RealWorld,True,False,Clipart,1.80238188525477,0.7214339893114068,2.22587890625,1.1621713691276845,2.3281715555620344,1.0,1.0
Clipart,Art_RealWorld,False,False,Product,1.80238188525477,2.4253873773972807,2.22587890625,1.1621713691276845,2.3281715555620344,1.0,1.0
Clipart,Art_RealWorld,False,True,RealWorld,1.80238188525477,2.4446401397658075,2.22587890625,1.1621713691276845,2.3281715555620344,1.0,1.0
Clipart,Art_Product,False,True,Art,1.80238188525477,3.2254149214947083,2.2484375000000005,2.4214461693280906,2.3422503410740405,1.0,1.0
Clipart,Art_Product,True,False,Clipart,1.80238188525477,0.7214339893114068,2.2484375000000005,2.4214461693280906,2.3422503410740405,1.0,1.0
Clipart,Art_Product,False,True,Product,1.80238188525477,2.4253873773972807,2.2484375000000005,2.4214461693280906,2.3422503410740405,1.0,1.0
Clipart,Art_Product,False,False,RealWorld,1.80238188525477,2.4446401397658075,2.2484375000000005,2.4214461693280906,2.3422503410740405,1.0,1.0
Product,Clipart_RealWorld,False,False,Art,1.3335394131798037,2.321061470750128,1.9381835937499994,1.0,1.9691039371059051,124.80334975699085,-137586.71285574225
Product,Clipart_RealWorld,False,True,Clipart,1.3335394131798037,2.564296000311459,1.9381835937499994,1.0,1.9691039371059051,124.80334975699085,-134383.30836930874
Product,Clipart_RealWorld,True,False,Product,1.3335394131798037,0.8223307282076442,1.9381835937499994,1.0,1.9691039371059051,124.80334975699085,-147402.9325710205
Product,Clipart_RealWorld,False,True,RealWorld,1.3335394131798037,1.6737456820674725,1.9381835937499994,1.0,1.9691039371059051,124.80334975699085,-142414.82447553225
Product,Art_RealWorld,False,True,Art,1.3335394131798037,2.321061470750128,1.750390625,2.1227751089027462,1.7698604946737337,142.72963588986596,-968.5135876135639
Product,Art_RealWorld,False,False,Clipart,1.3335394131798037,2.564296000311459,1.750390625,2.1227751089027462,1.7698604946737337,142.72963588986596,-2440.1493636539954
Product,Art_RealWorld,True,False,Product,1.3335394131798037,0.8223307282076442,1.750390625,2.1227751089027462,1.7698604946737337,142.72963588986596,209.16213105507126
Product,Art_RealWorld,False,True,RealWorld,1.3335394131798037,1.6737456820674725,1.750390625,2.1227751089027462,1.7698604946737337,142.72963588986596,-1740.298000288462
Product,Art_Clipart,False,True,Art,1.3335394131798037,2.321061470750128,2.0717773437500004,2.798191131973641,2.1300242929291167,149.75878716467773,-255832.41670438732
Product,Art_Clipart,False,True,Clipart,1.3335394131798037,2.564296000311459,2.0717773437500004,2.798191131973641,2.1300242929291167,149.75878716467773,-245402.6394954646
Product,Art_Clipart,True,False,Product,1.3335394131798037,0.8223307282076442,2.0717773437500004,2.798191131973641,2.1300242929291167,149.75878716467773,-253043.2328326272
Product,Art_Clipart,False,False,RealWorld,1.3335394131798037,1.6737456820674725,2.0717773437500004,2.798191131973641,2.1300242929291167,149.75878716467773,-255018.23784806827
RealWorld,Clipart_Product,False,False,Art,1.7893235847785287,2.594600103832475,2.12958984375,1.7987094894051552,2.2642577117189604,1.0,1.0
RealWorld,Clipart_Product,False,True,Clipart,1.7893235847785287,2.935078635846126,2.12958984375,1.7987094894051552,2.2642577117189604,1.0,1.0
RealWorld,Clipart_Product,False,True,Product,1.7893235847785287,1.9327811916142672,2.12958984375,1.7987094894051552,2.2642577117189604,1.0,1.0
RealWorld,Clipart_Product,True,False,RealWorld,1.7893235847785287,0.5514885406444161,2.12958984375,1.7987094894051552,2.2642577117189604,1.0,1.0
RealWorld,Art_Product,False,True,Art,1.7893235847785287,2.594600103832475,1.92275390625,1.646977206129757,2.0057463014975174,1.0,1.0
RealWorld,Art_Product,False,False,Clipart,1.7893235847785287,2.935078635846126,1.92275390625,1.646977206129757,2.0057463014975174,1.0,1.0
RealWorld,Art_Product,False,True,Product,1.7893235847785287,1.9327811916142672,1.92275390625,1.646977206129757,2.0057463014975174,1.0,1.0
RealWorld,Art_Product,True,False,RealWorld,1.7893235847785287,0.5514885406444161,1.92275390625,1.646977206129757,2.0057463014975174,1.0,1.0
RealWorld,Art_Clipart,False,True,Art,1.7893235847785287,2.594600103832475,2.2992187500000005,2.101581655688215,2.4564316726496576,1.0,1.0
RealWorld,Art_Clipart,False,True,Clipart,1.7893235847785287,2.935078635846126,2.2992187500000005,2.101581655688215,2.4564316726496576,1.0,1.0
RealWorld,Art_Clipart,False,False,Product,1.7893235847785287,1.9327811916142672,2.2992187500000005,2.101581655688215,2.4564316726496576,1.0,1.0
RealWorld,Art_Clipart,True,False,RealWorld,1.7893235847785287,0.5514885406444161,2.2992187500000005,2.101581655688215,2.4564316726496576,1.0,1.0
